  [U+0020]
! [U+0021]
" [U+0022]
# [U+0023]
$ [U+0024]
% [U+0025]
& [U+0026]
' [U+0027]
( [U+0028]
) [U+0029]
* [U+002A]
+ [U+002B]
, [U+002C]
- [U+002D]
. [U+002E]
/ [U+002F]
0 [U+0030]
1 [U+0031]
2 [U+0032]
3 [U+0033]
4 [U+0034]
5 [U+0035]
6 [U+0036]
7 [U+0037]
8 [U+0038]
9 [U+0039]
: [U+003A]
; [U+003B]
< [U+003C]
= [U+003D]
> [U+003E]
? [U+003F]
@ [U+0040]
A [U+0041]
B [U+0042]
C [U+0043]
D [U+0044]
E [U+0045]
F [U+0046]
G [U+0047]
H [U+0048]
I [U+0049]
J [U+004A]
K [U+004B]
L [U+004C]
M [U+004D]
N [U+004E]
O [U+004F]
P [U+0050]
Q [U+0051]
R [U+0052]
S [U+0053]
T [U+0054]
U [U+0055]
V [U+0056]
W [U+0057]
X [U+0058]
Y [U+0059]
Z [U+005A]
[ [U+005B]
\ [U+005C]
] [U+005D]
^ [U+005E]
_ [U+005F]
` [U+0060]
a [U+0061]
b [U+0062]
c [U+0063]
d [U+0064]
e [U+0065]
f [U+0066]
g [U+0067]
h [U+0068]
i [U+0069]
j [U+006A]
k [U+006B]
l [U+006C]
m [U+006D]
n [U+006E]
o [U+006F]
p [U+0070]
q [U+0071]
r [U+0072]
s [U+0073]
t [U+0074]
u [U+0075]
v [U+0076]
w [U+0077]
x [U+0078]
y [U+0079]
z [U+007A]
{ [U+007B]
| [U+007C]
} [U+007D]
~ [U+007E]
¡ [U+00A1]
¢ [U+00A2]
£ [U+00A3]
¤ [U+00A4]
¥ [U+00A5]
¦ [U+00A6]
§ [U+00A7]
¨ [U+00A8]
© [U+00A9]
ª [U+00AA]
« [U+00AB]
¬ [U+00AC]
­ [U+00AD]
® [U+00AE]
¯ [U+00AF]
° [U+00B0]
± [U+00B1]
² [U+00B2]
³ [U+00B3]
´ [U+00B4]
µ [U+00B5]
¶ [U+00B6]
· [U+00B7]
¸ [U+00B8]
¹ [U+00B9]
º [U+00BA]
» [U+00BB]
¼ [U+00BC]
½ [U+00BD]
¾ [U+00BE]
¿ [U+00BF]
À [U+00C0]
Á [U+00C1]
Â [U+00C2]
Ã [U+00C3]
Ä [U+00C4]
Å [U+00C5]
Æ [U+00C6]
Ç [U+00C7]
È [U+00C8]
É [U+00C9]
Ê [U+00CA]
Ë [U+00CB]
Ì [U+00CC]
Í [U+00CD]
Î [U+00CE]
Ï [U+00CF]
Ð [U+00D0]
Ñ [U+00D1]
Ò [U+00D2]
Ó [U+00D3]
Ô [U+00D4]
Õ [U+00D5]
Ö [U+00D6]
× [U+00D7]
Ø [U+00D8]
Ù [U+00D9]
Ú [U+00DA]
Û [U+00DB]
Ü [U+00DC]
Ý [U+00DD]
Þ [U+00DE]
ß [U+00DF]
à [U+00E0]
á [U+00E1]
â [U+00E2]
ã [U+00E3]
ä [U+00E4]
å [U+00E5]
æ [U+00E6]
ç [U+00E7]
è [U+00E8]
é [U+00E9]
ê [U+00EA]
ë [U+00EB]
ì [U+00EC]
í [U+00ED]
î [U+00EE]
ï [U+00EF]
ð [U+00F0]
ñ [U+00F1]
ò [U+00F2]
ó [U+00F3]
ô [U+00F4]
õ [U+00F5]
ö [U+00F6]
÷ [U+00F7]
ø [U+00F8]
ù [U+00F9]
ú [U+00FA]
û [U+00FB]
ü [U+00FC]
ý [U+00FD]
þ [U+00FE]
ÿ [U+00FF]
Ā [U+0100]
ā [U+0101]
Ă [U+0102]
ă [U+0103]
Đ [U+0110]
đ [U+0111]
Ē [U+0112]
ē [U+0113]
Ě [U+011A]
ě [U+011B]
Ĩ [U+0128]
ĩ [U+0129]
Ī [U+012A]
ī [U+012B]
Ń [U+0143]
ń [U+0144]
Ň [U+0147]
ň [U+0148]
Ō [U+014C]
ō [U+014D]
Ŏ [U+014E]
ŏ [U+014F]
Œ [U+0152]
œ [U+0153]
Ũ [U+0168]
ũ [U+0169]
Ū [U+016A]
ū [U+016B]
Ŭ [U+016C]
ŭ [U+016D]
ƒ [U+0192]
Ơ [U+01A0]
ơ [U+01A1]
Ư [U+01AF]
ư [U+01B0]
Ǎ [U+01CD]
ǎ [U+01CE]
Ǐ [U+01CF]
ǐ [U+01D0]
Ǒ [U+01D1]
ǒ [U+01D2]
Ǔ [U+01D3]
ǔ [U+01D4]
Ǖ [U+01D5]
ǖ [U+01D6]
Ǘ [U+01D7]
ǘ [U+01D8]
Ǚ [U+01D9]
ǚ [U+01DA]
Ǜ [U+01DB]
ǜ [U+01DC]
Ǹ [U+01F8]
ǹ [U+01F9]
Ḿ [U+1E3E]
ḿ [U+1E3F]
Ạ [U+1EA0]
ạ [U+1EA1]
Ả [U+1EA2]
ả [U+1EA3]
Ấ [U+1EA4]
ấ [U+1EA5]
Ầ [U+1EA6]
ầ [U+1EA7]
Ẩ [U+1EA8]
ẩ [U+1EA9]
Ẫ [U+1EAA]
ẫ [U+1EAB]
Ậ [U+1EAC]
ậ [U+1EAD]
Ắ [U+1EAE]
ắ [U+1EAF]
Ằ [U+1EB0]
ằ [U+1EB1]
Ẳ [U+1EB2]
ẳ [U+1EB3]
Ẵ [U+1EB4]
ẵ [U+1EB5]
Ặ [U+1EB6]
ặ [U+1EB7]
Ẹ [U+1EB8]
ẹ [U+1EB9]
Ẻ [U+1EBA]
ẻ [U+1EBB]
Ẽ [U+1EBC]
ẽ [U+1EBD]
Ế [U+1EBE]
ế [U+1EBF]
Ề [U+1EC0]
ề [U+1EC1]
Ể [U+1EC2]
ể [U+1EC3]
Ễ [U+1EC4]
ễ [U+1EC5]
Ệ [U+1EC6]
ệ [U+1EC7]
Ỉ [U+1EC8]
ỉ [U+1EC9]
Ị [U+1ECA]
ị [U+1ECB]
Ọ [U+1ECC]
ọ [U+1ECD]
Ỏ [U+1ECE]
ỏ [U+1ECF]
Ố [U+1ED0]
ố [U+1ED1]
Ồ [U+1ED2]
ồ [U+1ED3]
Ổ [U+1ED4]
ổ [U+1ED5]
Ỗ [U+1ED6]
ỗ [U+1ED7]
Ộ [U+1ED8]
ộ [U+1ED9]
Ớ [U+1EDA]
ớ [U+1EDB]
Ờ [U+1EDC]
ờ [U+1EDD]
Ở [U+1EDE]
ở [U+1EDF]
Ỡ [U+1EE0]
ỡ [U+1EE1]
Ợ [U+1EE2]
ợ [U+1EE3]
Ụ [U+1EE4]
ụ [U+1EE5]
Ủ [U+1EE6]
ủ [U+1EE7]
Ứ [U+1EE8]
ứ [U+1EE9]
Ừ [U+1EEA]
ừ [U+1EEB]
Ử [U+1EEC]
ử [U+1EED]
Ữ [U+1EEE]
ữ [U+1EEF]
Ự [U+1EF0]
ự [U+1EF1]
Ỳ [U+1EF2]
ỳ [U+1EF3]
Ỵ [U+1EF4]
ỵ [U+1EF5]
Ỷ [U+1EF6]
ỷ [U+1EF7]
Ỹ [U+1EF8]
ỹ [U+1EF9]
  [U+2002]
  [U+2003]
‐ [U+2010]
‑ [U+2011]
‒ [U+2012]
– [U+2013]
— [U+2014]
― [U+2015]
‖ [U+2016]
‘ [U+2018]
’ [U+2019]
‚ [U+201A]
“ [U+201C]
” [U+201D]
„ [U+201E]
† [U+2020]
‡ [U+2021]
• [U+2022]
‥ [U+2025]
… [U+2026]
‧ [U+2027]
‰ [U+2030]
′ [U+2032]
″ [U+2033]
‵ [U+2035]
‹ [U+2039]
› [U+203A]
※ [U+203B]
‼ [U+203C]
⁂ [U+2042]
⁇ [U+2047]
⁈ [U+2048]
⁉ [U+2049]
⁑ [U+2051]
₩ [U+20A9]
₫ [U+20AB]
€ [U+20AC]
™ [U+2122]
← [U+2190]
↑ [U+2191]
→ [U+2192]
↓ [U+2193]
　 [U+3000]
、 [U+3001]
。 [U+3002]
〉 [U+3009]
《 [U+300A]
》 [U+300B]
ぁ [U+3041]
あ [U+3042]
ぃ [U+3043]
い [U+3044]
ぅ [U+3045]
う [U+3046]
ぇ [U+3047]
え [U+3048]
ぉ [U+3049]
お [U+304A]
か [U+304B]
が [U+304C]
き [U+304D]
ぎ [U+304E]
く [U+304F]
ぐ [U+3050]
け [U+3051]
げ [U+3052]
こ [U+3053]
ご [U+3054]
さ [U+3055]
ざ [U+3056]
し [U+3057]
じ [U+3058]
す [U+3059]
ず [U+305A]
せ [U+305B]
ぜ [U+305C]
そ [U+305D]
ぞ [U+305E]
た [U+305F]
だ [U+3060]
ち [U+3061]
ぢ [U+3062]
っ [U+3063]
つ [U+3064]
づ [U+3065]
て [U+3066]
で [U+3067]
と [U+3068]
ど [U+3069]
な [U+306A]
に [U+306B]
ぬ [U+306C]
ね [U+306D]
の [U+306E]
は [U+306F]
ば [U+3070]
ぱ [U+3071]
ひ [U+3072]
び [U+3073]
ぴ [U+3074]
ふ [U+3075]
ぶ [U+3076]
ぷ [U+3077]
へ [U+3078]
べ [U+3079]
ぺ [U+307A]
ほ [U+307B]
ぼ [U+307C]
ぽ [U+307D]
ま [U+307E]
み [U+307F]
む [U+3080]
め [U+3081]
も [U+3082]
ゃ [U+3083]
や [U+3084]
ゅ [U+3085]
ゆ [U+3086]
ょ [U+3087]
よ [U+3088]
ら [U+3089]
り [U+308A]
る [U+308B]
れ [U+308C]
ろ [U+308D]
ゎ [U+308E]
わ [U+308F]
ゐ [U+3090]
ゑ [U+3091]
を [U+3092]
ん [U+3093]
ゕ [U+3095]
ゖ [U+3096]
゚ [U+309A]
ゝ [U+309D]
ゞ [U+309E]
ゟ [U+309F]
ァ [U+30A1]
ア [U+30A2]
ィ [U+30A3]
イ [U+30A4]
ゥ [U+30A5]
ウ [U+30A6]
ェ [U+30A7]
エ [U+30A8]
ォ [U+30A9]
オ [U+30AA]
カ [U+30AB]
ガ [U+30AC]
キ [U+30AD]
ギ [U+30AE]
ク [U+30AF]
グ [U+30B0]
ケ [U+30B1]
ゲ [U+30B2]
コ [U+30B3]
ゴ [U+30B4]
サ [U+30B5]
ザ [U+30B6]
シ [U+30B7]
ジ [U+30B8]
ス [U+30B9]
ズ [U+30BA]
セ [U+30BB]
ゼ [U+30BC]
ソ [U+30BD]
ゾ [U+30BE]
タ [U+30BF]
ダ [U+30C0]
チ [U+30C1]
ヂ [U+30C2]
ッ [U+30C3]
ツ [U+30C4]
ヅ [U+30C5]
テ [U+30C6]
デ [U+30C7]
ト [U+30C8]
ド [U+30C9]
ナ [U+30CA]
ニ [U+30CB]
ヌ [U+30CC]
ネ [U+30CD]
ノ [U+30CE]
ハ [U+30CF]
バ [U+30D0]
パ [U+30D1]
ヒ [U+30D2]
ビ [U+30D3]
ピ [U+30D4]
フ [U+30D5]
ブ [U+30D6]
プ [U+30D7]
ヘ [U+30D8]
ベ [U+30D9]
ペ [U+30DA]
ホ [U+30DB]
ボ [U+30DC]
ポ [U+30DD]
マ [U+30DE]
ミ [U+30DF]
ム [U+30E0]
メ [U+30E1]
