Total: 528
------
" [U+0022]
& [U+0026]
( [U+0028]
) [U+0029]
, [U+002C]
- [U+002D]
. [U+002E]
/ [U+002F]
0 [U+0030]
1 [U+0031]
2 [U+0032]
3 [U+0033]
4 [U+0034]
5 [U+0035]
6 [U+0036]
7 [U+0037]
8 [U+0038]
9 [U+0039]
: [U+003A]
; [U+003B]
= [U+003D]
? [U+003F]
A [U+0041]
B [U+0042]
C [U+0043]
D [U+0044]
E [U+0045]
F [U+0046]
G [U+0047]
H [U+0048]
I [U+0049]
J [U+004A]
K [U+004B]
L [U+004C]
M [U+004D]
N [U+004E]
O [U+004F]
P [U+0050]
Q [U+0051]
R [U+0052]
S [U+0053]
T [U+0054]
U [U+0055]
V [U+0056]
W [U+0057]
Y [U+0059]
[ [U+005B]
] [U+005D]
^ [U+005E]
a [U+0061]
b [U+0062]
c [U+0063]
d [U+0064]
e [U+0065]
f [U+0066]
g [U+0067]
h [U+0068]
i [U+0069]
j [U+006A]
k [U+006B]
l [U+006C]
m [U+006D]
n [U+006E]
o [U+006F]
p [U+0070]
r [U+0072]
s [U+0073]
t [U+0074]
u [U+0075]
v [U+0076]
w [U+0077]
x [U+0078]
y [U+0079]
z [U+007A]
à [U+00E0]
á [U+00E1]
â [U+00E2]
å [U+00E5]
ç [U+00E7]
ê [U+00EA]
ñ [U+00F1]
ò [U+00F2]
ü [U+00FC]
ă [U+0103]
Ε [U+0395]
η [U+03B7]
ι [U+03B9]
κ [U+03BA]
λ [U+03BB]
ν [U+03BD]
Б [U+0411]
М [U+041C]
Р [U+0420]
С [U+0421]
У [U+0423]
а [U+0430]
в [U+0432]
г [U+0433]
д [U+0434]
е [U+0435]
и [U+0438]
й [U+0439]
к [U+043A]
л [U+043B]
н [U+043D]
о [U+043E]
р [U+0440]
с [U+0441]
т [U+0442]
у [U+0443]
х [U+0445]
ц [U+0446]
ш [U+0448]
ъ [U+044A]
ы [U+044B]
ь [U+044C]
я [U+044F]
– [U+2013]
、 [U+3001]
。 [U+3002]
「 [U+300C]
」 [U+300D]
『 [U+300E]
』 [U+300F]
あ [U+3042]
い [U+3044]
う [U+3046]
え [U+3048]
お [U+304A]
か [U+304B]
が [U+304C]
き [U+304D]
く [U+304F]
け [U+3051]
げ [U+3052]
こ [U+3053]
ご [U+3054]
さ [U+3055]
し [U+3057]
す [U+3059]
ず [U+305A]
せ [U+305B]
そ [U+305D]
ぞ [U+305E]
た [U+305F]
だ [U+3060]
っ [U+3063]
つ [U+3064]
て [U+3066]
で [U+3067]
と [U+3068]
ど [U+3069]
な [U+306A]
に [U+306B]
の [U+306E]
は [U+306F]
ば [U+3070]
へ [U+3078]
べ [U+3079]
ま [U+307E]
め [U+3081]
も [U+3082]
や [U+3084]
よ [U+3088]
ら [U+3089]
り [U+308A]
る [U+308B]
れ [U+308C]
わ [U+308F]
を [U+3092]
ァ [U+30A1]
ア [U+30A2]
ィ [U+30A3]
イ [U+30A4]
ウ [U+30A6]
ェ [U+30A7]
エ [U+30A8]
カ [U+30AB]
キ [U+30AD]
ク [U+30AF]
グ [U+30B0]
コ [U+30B3]
ゴ [U+30B4]
サ [U+30B5]
シ [U+30B7]
ジ [U+30B8]
ス [U+30B9]
ズ [U+30BA]
セ [U+30BB]
タ [U+30BF]
ダ [U+30C0]
チ [U+30C1]
ッ [U+30C3]
